comments,category
hi sir I have one favour from rail ministry I have book one ticket under tatkal but same was waiting list please support for confirming the pnr.2243106286,request new service
Hi Sir I kuldeep sharma traveling from pune to Lucknow Train No 11407 PNR 8602940570Here in train hawker are selling packed drinking water other than Rail Neer on higher price that MRP Neet your attention,staff complain
hi sir iam dr triveni Psychiatrist Travelling from Kanpur to Vijayawada in train 12511 Raptisagar express today Train is full of cockroaches termites insects unhygienic toilets toilets not being cleaned for two days Problem in AC : coach B1 train 12511,hygiene
Hi Sir Jhajha reservation counter close 2pm per day Sir kal ke date me ticket lena hame bahut jaruri hai Jhajha to Haridwar jn please help me,poor service
hi sir my pnr is 6311872065 i booked train ASN to HW but i have to change boarding station i e MKA My train is on 11 3 18 so it cant change due to 24 hours help me 8877702702 is ny number,poor service
Hi Sir train no 12561 is always late by atleast 8 9hrs everyday it's the same story and today also and not only this train all the trains on this route are always running late #,train delay
Hi sir train no 12595 humsafar is too late near about 5 hours,train delay
hi sir06006 trains being delayed for over an hour since every week even though we paid higher price compare with other train,train delay
Hi some random person fighting on phone using foul language Is acting really aggressive and is very loud Need security Train: 17603 KCG YPR Bogie: S10,security problem
Hi team can you please at least ensure that you have more seats in the AC waiting rooms when your trains keep running late I'm at Jodhpur Railway Station and there are a meagre 30 seats and more than 50 people standing because their trains are running late,request new service
Hi team i am at arj aurihar jn pepole are taking 5rs for urine from all passenger their is no charge for urine they forcefully collecting from all i am still at arj station my train is 4 hrs delay 14611 is this gov my no 9967044440 call me plz,train delay
Hi team I booked the tickets when it is in RAC status that time i mentioned my dad is handicap RAC tickets is Confirmed i didnt get lower berth seats for my Dad Mom they got middle and upper he will sit in middle,poor service
hi Team I have cancelled my ticket but refund nit yet came can someone please help,poor service
Hi Team Please help me to provide seat to this PNR 8302355416 i realy thankful to you foe this act of kindness,appreciation
Hi this is for the complaint regarding unavailability of blankets in train running from Delhi to hoshiarpur Please find below detailsPNR 2604901620Trn:14011Dt:28 02 2018Frm DLI to JUCCls:3AP1 B2 54,poor service
hi traveling with 05115 s4 69 I am facing problem in switch off fan it's to cool please fix it,poor service
Hi why no rail neer in pandey car of malwa express throughout the day 12920 PNR 2823197373 They are selling some pure drop brand which is sub standard Pls do the needful,staff complain
Highly appreciable,appreciation
Highly irresponsible staff in Train no-12236 Coach no-B8,staff complain
Hii my pnr number 2443239214 bogi d9 seet number 102 98 train number 12180 but this bogi have no this number 9793122020 I have booked by Irctc kindly checked,poor service
hii sir please help in motihari porbandar express last station Alwar one pessenger feel lots of pain please help,security problem
HiTrain#17019 Train is not cleaned and stinking B3 coach is horrible to sit Please arrange for cleaning at Manmad Junction Madhukar PNR#2143388258 B3 33,hygiene
honorable minister our elderly family friend lady from SA is missing complaint registered with LTT railway police She has no family in India and only knows English Tamil 7 days no contact Seek ur assistance,security problem
honorable minister our elderly family friend lady from SA is missing complaint registered with LTT railway police She has no family in India and only knows English Tamil 7 days no contact Seek ur assistance,security problem
honourable railmin happy holi sir a train late 17hr 18hr 20hr continue before 6 month Train no 12561 12562 Sowtanta senani its very shameful to dishonour our freedom fighter and also every passengers pay Superfast charge why? We went answer thank y,train delay
HonourableMinistry of Indian railway This is my ticket booking details UP Sampark kranti Exp Nizamudin Banda ticket charge done but ticket is not booked I need my refund Pls help me and reason why you're not return till now,poor service
Hope 2022 unemployed will get 40000 bullet jobs,request new service
hope mr ravish will have a episode on railways manmani.trainno 14208 standing for 1 hrs at rahimabad n 3 other trains crossed look like passengers of 14208 r fool.tgey do it regularly n wen I complain they ask for pnr worst railway service pic.twitter.com/ksliemjeep,poor service
Hope nagarcoil express has no problem ... Waiting for its arrival since 10:30 announcement made about arrival is 3:10 .... It's one of the worst experience had with Indian railway ....,train delay
Hope nagarcoil express has no problem Waiting for its arrival since 10:30 announcement made about arrival is 3:10 It's one of the worst experience had with Indian railway,poor service
hope now this 503service always available thanx plz order to ntes cris care about this easy mobile app for train enquiry always this app available its your efforts we regard railway ministries,appreciation
Hope you will rethink about these issues raised herewith.,request new service
Hope you will take proper action to run this train 14005 with no more delay. Thanks,train delay
Hopeless condition in which we travelled in our reserved seats,poor service
horrible cleanliness situation in 12471 today morning,hygiene
horrible condition of toilets on train 22461 PNR 2341591358,hygiene
horrible experience in 22532 mathura chapra train Train delayed Still in one place near lucknow from last 2 hr Even AC is not working,train delay
horrible service in 1AC of Tamil Made Express 12622 been 10 hours and not even a bottle of water If 1AC is such can only wonder the state of other classes,poor service
Hot water served in cup rather than kettle on the occasion of Holi service is pathetic even in Shatabdi in indian railways passengers facing worst for their money during bjp regime,poor service
how about sending a message on late departure of train from its origin station?,request new service
how can anyone sleep on unequal sea LSB poor facility even on AC 2PNR 4142443599Plzzz look into this,poor service
How can authorities ask for mobile number publicly pnr number is still fine,staff complain
how can I forgot to tag you Make your employees work atleast few hours in a day Even after so much of money no improvement in train operations,staff complain
how can india will become a developed country like this waiting on station since 3hour for 13022 train number,train delay
how can someone sleep when this light is switched on forever and the cooling in ac is as good as a heater do v pay tatkal charges for this inconvenience? P s train no 12962 PNR no PNR:8202960223 B4 32,poor service
how can u charge of cancellation of unconfirmed ticket???,refund
how can u implement swatchata without water,hygiene
how difficult is it for the railways to share seat plans for customers to choose preferred seats? Not a great feeling when seat nos 2 & 3 r not really adjacent when traveling with Ur wife. Co-Passengers traveling alone r even rude if requested for a change of seat.,poor service
how does even railways have odasity to ask for fair and reasonable upgrades based on travel classes S1 to HA1 all have same smell mosquito dirt and they all are epitome of failure country : swach Bharat #TRN12562,hygiene
How i manage when my family seat in S1 amd second seat S8 pls help,poor service
how is 64 year old lady supposed to travel in upper berth,request new service
How long we have to wait for an iPhone mobile app for booking tickets? Is it for helping private companies as they are coming up with more and more apps Request your intervention,request new service
How long will it take now to get my refund for TDR Registered ? Firstly the train wasn't on time more thab 7 hrs delay that caused me inconvenience and now my money is stuck again inconvenience to general public,poor service
How many more months it will take to approve my TDR? Why you people are not serious? Please revert back. pic.twitter.com/DKG9fXaqXR,refund
how many tweets will it take to restore electric supply in train no 12627 pnr no4861349769??,poor service
How much late Is this at Night?,train delay
how much time take this special train to reach bhagalpur 4 hour se gaya station mein khadi hai,train delay
how people appointed for dealing on 138?,poor service
How sad its not any matterBecause there is no reply action after tweetWow thats great Indian RailwaysBecause its not a VIP trainAnd system is giving DEAF EAR Thanx RailwaysIts seeming train will depart next day because Aam Admi ki koi nahi sunta hai,train delay
how they will manage with a 2 years girl in 1 seat please look into it and suggest currently train is in vishakhapattanam,request new service
how to get medical attention on a moving train now??? Urgent...,security problem
how to report corruption in railways ? seen two type - TT first threten to ppl who hv genera ticket bt seating in reservation abt penalty then charges 75% amt but not giving receipt. if someone denied penalised him with 200 fine + fare,staff complain
How u detect the student who give double and triple matric to reduce his/her age for abling to fillup the rrb form . Pls give answer and do quick action against this,request new service
How unauthorized vendors are selling in garib rath #22406 above print price of goods. Who is responsible if any unfortunate accident happens with pessangers.? This is not possible without involvement of railway officials. #ANVT,staff complain
How will i know TT asking for money during ticket checking is train TT or fake TT or platform TT,staff complain
How will i know TT asking for money during ticket checking is train TT or fake TT or platform TT,staff complain
Howrah duranto more than three hrs late fast speed kya chalayege,train delay
Howrah Express 12833 PNR 8603255109 train halting at Tirora station near gondia for the last 3 hrs due to engine breakdown train staff is doing nothing to get the train moving,train delay
Hubli junction #SouthWesternrailways Car parking charges per day is 120/- and looting money without receipts. Sir 120/- per day is too much for middle class small car owners. Kindly fix genuine and affordable parking charges.,staff complain
huge amount of water is used at surat Rly stn to clean tracks This is a treated water for drinking and supplied by Need to find way out to save huge wastage of water New type of jet spray can clean and save huge water Pl act to save water,request new service
Huge disappointment In journey of 7 hrs train late by 3 hrs TNO 14235 missed exam,train delay
Huge mosquitoes in coach B2,hygiene
Huge rumbling noise disrupted the sleep of all passengers near Dhampur station Felt like stones crushing under the seat or something has been broken Heard track is that way Don't know Train 12370 coach B1All passengers frightened,poor service
Humble reqwest sir,request new service
Humsafar express train no 12571 never and literally never reached in time Today also running late by 3hrs Why running these trains to make mockery of Indian railway?,train delay
Humsafar train no 12596 runs always late last Tuesday it was late by 6:30hrs while no fog these days Do u know will do something??,train delay
hv taken 4 trains in 6 days all of them late at times 2 hours Twice power sockets didn't work Apparently writing this trvlling in a train with low battery and no power to charge the phone Cn v do smthng or good governance ws just a chunavi jumla,poor service
HWH DELHI Kalka mail in General compartment goods and general public going together Cimpromising and RPF is helping to enter goods in GS,security problem
I absurbed train has been stop at every station from Moradabad,train delay
I absurbed train no. 22419 has been stop always at every station between Moradabad to ghaziabad,train delay
I accept it gud idea.. thanks,appreciation
I added money in #UTS all wallet but money deducted from account and not reflected in UTS wallet payment made through,poor service
I also complain to DRM ald but no one came for solving the problem,poor service
I always get bad experience of late and doing Tweet but problem never get solved,train delay
I am  station to catch 19310 shanti express the train time is 11.45 pm now it is 12.40 am,train delay
i am a regular passenger of 75730 75729 ghy demu Some mst holder alwyas card and makes hactic atmospere Where is rpf,security problem
I am an NRI sent emails to care co in for not able to verify my USA phone number Waiting for 6 days received no response Could you pls help Call 91 8319016282,poor service
I am at Bokaro railway upper class AC waiting hall and here not working AC and fans,poor service
I am at Jammagar station psngr lift was under maintenance but no sign board was put when we used it stopped inbetween and when we were taken out the officer said its your mistake did not accepted his lapse c photo no sign board was ours time 340 pm today,poor service
I am at Jammagar station psngr lift was under maintenance but no sign board was put when we used it stopped inbetween and when we were taken out the officer said its your mistake did not accepted his lapse c photo no sign board was ours time 340 pm today pic.twitter.com/zN1F19jYW7,poor service
I am at mau jn. Booked tkt for train no.01018 gkk ltt weekly special. And no one knows about the train neiyher platform enquiry nor any webisite. PLEASE HELP.,poor service
I am at Navsari station and there is no drinking water facility here All clean water counter closed,hygiene
I am at Ratlam Railway station platform no 2 Waiting Room is locked I called to complain and I was told that it will open at 6 00 AMAny specific rule of 6 00 AM opening of waiting room ?,poor service
I am currently at Sahibabad Railway Station At this station there is neither a single activity of Announcement nor any display board am able to see at Platform 1 Can anybdy pl tell me the status of my train:15014PS: I don't know how to check status on Google,poor service
I am currently traveling in train number 04421 holding pnr number: 2443 377 838 I had RAC in coach B9 seat 39 TTE never showed up one of the attendant offered me a seat in pantry and asked for a little sewa and asked for 300 rupees After a while he woke me up,staff complain
i am currently travelling by train number 12423 Just boarded and surprised to see the situation of coach Lots of cockroach and a rat Is this the extra facility given to passengers?,hygiene
i am from AP i am requesting u to gave us one more service to bangalore from vijayawada via tirupathi It should be start at afternoon evening and reaching to bangalore early morning Please make a note of it and so faver to us thank u,request new service
I am from patna to mumbai by humsafar express & my coach is B12 & the train arrived from mumbai to patna at 12 am yesterday its already been about 24 hrs & the coach is not cleaned.who is responsible for this?,hygiene
I am going from Kolkata to Guwahati via Ghy Garib Rath 12517. My PNR no. 6312326035 and it's RAC to be shared with another 2 persons. The joke is seat allotted is middle berth. How 03 persons can sit in middle bearth. I have complained it to 138 waiting for solution,poor service
I am going to Abu road from Lucknow in train no19402 S6 birth 35 person came for lunch order but after 1hrs I didn't receive my order hance I cancelled my order so person was fight with me and said I will show you in 2 hrs so help me asap 8052442407,poor service
I am having 2 wl in 2 Ac coach of 11059 chapra express pnr 8202652765 chart should be prepare 4 hours before the starting from the origin of the train but it's not prepared yet please help,poor service
I am in chattisgarh express and people without reservation are travelling in reservation coaches not allowing people with reservation to have nice journey experience..There is no TT or TC or  officer to look into the matter...,security problem
I am in K V Express 14257 I don't know why he is stand in Block hut A outer near lucknow who is responsible if I miss my train from Lucknow Garib rath 12593,train delay
I am in lichhvi express there is no water in bathroom very dusty coach#how our money is repaid by railway ##,hygiene
I am in rajya rani express Train no 12567C2 I have been here for half an hour And A C z not working These condition makes me think about the derangement of the concerned administration sir,poor service
I am in Train no 12394 S 3 22 Mobile charging point not working Kindly help,poor service
i am in udyogkarmi express 12943 departs from JHS 3 30 pm still not reach CNB its a nt 1 day story daily it takes 5 6 hr to cover 220 km biggest failure of railway department worst route CNB JHS worst officers worst ministry,train delay
I am kanhaya Ray my complaint is train no 12926 in ac2 coach no A2 PNR no 2343063176 regarding bed sheet not issued upto jrc,poor service
I am not able to find my train tickets for journey I completed in November. I need the tickets PDF for tax processing. Can you help me getting copy of my tickets?,request new service
I am not MLA or MP of Maningar I am daily commuter Nd ADI for job Since last 10yrs Shanti express is stopping at Maninagar for several reasons but not based on legal permission,train delay
I am not worried as I always travel ticketless,security problem
I am on board 12802 from tata in S6 The Coach is filled with unreserved Passengers Making the Coach messy Plz help,security problem
I am on board 12802 from tata in S6. The Coach is filled with unreserved Passengers... Making the Coach messy. Plz help,security problem
I am on board train no 12344 Darjeeling Mail PNR 6411919104 B6 39 I have bought meal from irctc but have wasted my money i will never buy a single food from irctc again Such a 3rd class of food quality 'Dal' is like yellow water chicken is pouring in only water and non fried,poor service
I am on Charminar express tonite and am going to bed hungry coz I trusted your ecatering option Didn't get my order at the promised station They've stopped selling dinner on the train Noone's answering the customer care for a refund So not fair #IndianRailways,poor service
I am on the way to Mumbai from shirdi i am suffering from heavy headache if possible can you arrange for medicine Thank you,request new service
I am really fade up with the train running system Now these days trains are still running late when there is no fog I am traveling with 22531 Mathura to Gorakhpur It is almost running 7 hours late daily,train delay
I am right now traveling in train no 14015 coach S1 23 which is very dirty particularly Washroom If we complaint to TTE also no use I want please arrange for cleaning the coach,staff complain
I am right now traveling in Train no 22902 coach no S3 25 to 30 which is very dirty particularly Washroom Train has just started from Udaypur City but still toilets are very dirty Please arrange for cleaning the coach My PNR No 2822534832,hygiene
I am right now traveling in Train no 22902 coach no S3 25 to 30 which is very dirty particularly Washroom.Train has just started from Udaypur City but still toilets are very dirty Please arrange for cleaning the coach My PNR No-2822534832,hygiene
I am rupa kumari today I m traveling on Saptkranti express 12557 my pnr no 6408861829 my coach no S10 my seat no 61 food is very testy and service r good and also staff behavior very good Thanku railway,appreciation
I am sitting in train no 13006 and couldn't understand the reason why this train is always delayed and people have perception that 3 4 hr delay for this train is very usual specially traveling between Varanasi and mughal sarai,train delay
I am speaking of northern railway here. 10 days ago its was NDLS-MUV EXP now its MAHAMANA EXP. Over 3 hrs late.,train delay
I am still waiting for your answer of my last question?????,poor service
I am traveling by 02821 KYN KGP today but unfortunately the train is late by couple of hours so will I be informed once the train leaves Pune by SMS or something? please help,train delay
I am traveling by kAveri express 16021 coach S1 I am not finding dustbin available in this coach This is a feedback to register my disappointment with the same #SwachhBharat,hygiene
I am traveling by Train No 12792 it's already been late by 2 hrs never any train reaches on time n how come things be changed ?,train delay
I am traveling by train number 12129 Pune Azad hind express I am suffering from tonsillitis and its paining me please arrange me medicine for acute tonsil pain I will be crossing Rourkela around 10:22 pm tonight my coach number is B-3 seat number is 9,security problem
I am traveling from Bangalore to Mysore in tippu express The unauthorized vendors selling water bottle more than the specified rate and not the rail neer Please take necessary action,staff complain
I am traveling from COI to MGS tarn num 12176 stopped 1 hour above train in station This train already late Please action on station management,train delay
I am traveling from vskp to tel I never seen this type of journey till now Train driver's driving is very bad He is using sudden breaks when train is running on high speed bullock is better than this train,train delay
I am traveling in 12398 Mahabodhi express and this is the below water the pantry is serving on asking for Rail neer the official IR water they are replying that is getting served every time,staff complain
i am traveling in 12987 sialdah ajmer exp my pnr is 6112017146 The light and fan are not working I had complaint to the TC but no action taken on this problem,poor service
I am traveling in AB1 of 18452 birth no 6 from BBS to HTE The quality of bed sheets are too shabby and not washed Further the pillows are not all proper Completely uncomfortable journey,poor service
I am traveling in janshatabdi 12058 from ambala to New Delhi ... coach C2 . Toilets are very dirty and completely inappropriate for use.. Kindly look in to the matter,hygiene
I am traveling in Ranchi Rajdhani Toilet condition is worst as not a singal staff is available in train to clean,hygiene
I am traveling in train 05045 PNR 2443216033 In my coach no pillow cover and towel provided by attendants Please explain the reason???,staff complain
I am traveling in train no 05535 there is not any single charging plug working in whole S 8 bogi Since last night Please fix this issue,poor service
I am traveling in train no 12817 PNR 6611356490 and just launched The vendors asking for INR 120 for veg without sweet and curd Whereas I have seen your previous tweet there is far differences between actual rate Rs 120 paid by me and IRCTC website rate,staff complain
I am traveling in train no 13484 pnr no 2343181555 2A seat no 29 AC was not running from morning when I asked for complain book staff told that they will not give complain book and neither they are responsible for anything staff told do what ever,staff complain
I am traveling in train no 19332 frm indore on 6 3 18 9pm Water not availble in toilets and wash basin Improve services pls,hygiene
I am traveling in train number 15060 Some coaces of this train are very dirty I requested for cleaning of coach on coach mitra but i was informed that this train is not covered under the service of coach mitra Kindly do the needful,hygiene
I am traveling to kolkatta for boarding my flight via Dhanbad Had booked ticket in 12988 which is delayed by 9 hours My PNR is 2243218882 Pls suggest what should do,train delay
I am traveling to kolkatta for boarding my flight via Dhanbad Had booked ticket in 12988 which is delayed by 9 hours My PNR is 2243218882 Pls suggest what should do,train delay
I am traveling to kolkatta for boarding my flight via Dhanbad Had booked ticket in 12988 which is delayed by 9 hours My PNR is 2243218882 Pls suggest what should do,train delay
I am traveling to Lucknow in BandraLucknow exp 19021 train but train delayed 55 min and yet train is stopping at anywhere,train delay
I am traveling today in GatiMaan Exp gwl to del having a very unfortunate experience of facing drunk railway workers It is very careless of entire staff to allow drunk staff to work on train which is having kids in the same coach Mr Minister pl consider,staff complain
I am traveling today train no 22418 new delhi to varanasi My seat no coach no 72 S2Not clean the seat,hygiene
I am traveling with 12404 Jaipur to Allahabad 3 AC coach (B 3) their no water facilities for hand wash kindly arrange the same.,hygiene
I am traveling with 12404 Jaipur to Allahabad 3 AC coach B 3 their no water facilities for hand wash kindly arrange the same Psnr no 2505692152 for your kind information,hygiene
I am traveling with Archana express ac 3tired 12355 And hole day Ac not working properly and facing problem and now ac is running but not cooling we facing hole day same problem Plz look at this matter Coach B4 seat 59,poor service
I am traveling with my family My train is somnath express Today I call a restaurant name punjab restaurant My daughter fell ill Food is un healthy I want to complaint against thos restaurants Bhopal junction,hygiene
I am traveling with this train 12423 Dibrugarh New Delhi Rajdhani Express And I think this the best running train for Indian railway in this route This train is full of rats and mosquitoes and coakroach Here are some pictures i am attaching Thank you,hygiene
I am traveling with train 12876 Train is delayed for 2:30 mins and smell coming from bathroom Please look into the matter,train delay
I am traveling with train no 12066Delhi to ajmer Couch D4Ur washroom are so dirty nd there is no light inside the washroom compartment upcoming station is NEEM KA THANA,staff complain
I am travellin frm new delhi to new jalpaiguri in 12424 new delhi dibrugarh rajdhani exp condition of toilets are at it worst water on floor unclean combodes bed smell this things are from the origin station i e New delhi Take some actionCoach no B 4,hygiene
I am travellin frm new delhi to new jalpaiguri in 12424 new delhi dibrugarh rajdhani exp condition of toilets are at it worst water on floor unclean combodes bed smell this things are from the origin station i e New delhi Take some actionCoach no B 4,hygiene
"I am travelling 20 days by train not getting one thing so many ppl said to TC ""staff ke hai"" TC NEVER check any id letter 1 2",staff complain
I am travelling from Jammu to kanpur from train Jammu Tata 18310 Bathrooms are dirty and having pathetic smells which is spreading entire compartment and we are feeling very uneasy Hope it will correct soon,hygiene
I am travelling from lucknow to ghaziabad on the train 04435 which is a holi special train My pnr is 2505351925 train has hardly travelled 60kms in 4:30hrs I really dont know when will it reach the destinationKindly do the needful,train delay
I am travelling in 12111 Cstm Amt Express PNR 8201971885 B4 63 AC is not at all chilling here since half n hour This is not at all a service we are expecting Kindly look into it,poor service
i am travelling in 12368 with pnr 2500553747. The train is so crwded that evn there is no space in passage. The coaches are over occupied. Pls see into it as it may also be security concern as people with unreserved tickets as well r travelling,security problem
I am travelling in 13104 down bhagirathi exp in a reservation comp But in evry gate and free space are occupied by the daily local passengers Please look into this This is a daily headache for those who're travelling in reservation comp,security problem
I am travelling in 13501 Haldia Asansol Express. I boarded at Durgachak Town Station. But the problem is ticket vendor could not give me Asansol ticket as the same was finished. Instead he gave me a ticket to Bankura. I am fearful of being penalised by TT. plz help.,staff complain
i am travelling in 17031 cstm Hyderabad express. In S5 near berth number 1 too much bad smell comes when someone opens bathroom door,hygiene
I am travelling in 22910 My pnr no is 6412244742 There is no drinking water facility since i have sit in the train I am thirsty and there is no canteen service in train Pls supply with drinking water as soon as possible,poor service
I am travelling in 3rd AC of SRC-PDY special trail (train no.-06009). The AC attedents are drunk. I couuld not find them yesterday. No RPF also to complain. I request to respective authority to take proper step against such irresponsibility.,security problem
I am travelling in Chennai express from Kachiguda till Chennai central in S4 63 today I found lots of Cockroaches in bhogi and its not cleaned while we are sleeping cockroaches are passing on us Kindly take action,hygiene
i am travelling in coimbatore exp PNR no 8203254046Please send attendent to spray pest control,staff complain
I am travelling in general coach of GOA express but charger socket is not working Train is at VSG station Will start at 3:10pm please rectify the problem Thanks Indian Railways,poor service
I am travelling in lucknow mail and the train is full like hell not even a single women can go to washroom where is TC?,poor service
I am travelling in Rajdhani express Pnr no 2824355893 My coach ac is not working Coach attendant is also not listening and avoiding Please do something ASAP Thanks,staff complain
I am travelling in Rajdhani express. Pnr no- 2824355893 . My coach ac is not working. Coach attendant is also not listening and avoiding. Please do something ASAP. Thanks,poor service
I am travelling in Ranchi Patna Janshatabdi Express and we have reserved our seats for our trip from Ranchi to Patna but when we reached Gaya Jn lots of local passengers entered in the train and occupying the reserved seats of the passengers,security problem
I am travelling in Ranchi Patna Janshatabdi Express and we have reserved our seats for our trip from Ranchi to Patna but when we reached Gaya Jn lots of local passengers entered in the train and occupying the reserved seats of the passengers.,security problem
I am travelling in train no 22409 the bed roll supplied in this train are mostly used ones please take notice of this,staff complain
I am travelling in train no 22944 coach A1 The door closer is broken and not working Being a premium AC coach it is a pity to see such things We have to close it everytime someone goes out or enters plus it brings mosquitoes and bad smell pnr no 8603254049,poor service
I am travelling in train no 22944 coach A1 The door closer is broken and not working Being a premium AC coach it is a pity to see such things We have to close it everytime someone goes out or enters plus it brings mosquitoes and bad smell pnr no 8603254049,poor service
I am travelling in train no. 22944 coach A1. The door closer is broken and not working. Being a premium AC coach,poor service
i am travelling in train number 12211 today I just want to know Is there any charges for bed sheet and another thing? Also I want to inform you AC is not working properly Plz consider,poor service
I am travelling in train number 15013 from Delhi to kashipur in this train TTE came for ticket checking at 12:20am as I know according to Indian railways rules ticket checking after 10:00 pm is not allowed. pic.twitter.com/7kldTK6M1f,staff complain
I am travelling through 12488 Seemanchal express. I don't understand why this train is stopping at every dam station. Is it a passenger or a express train. I have paid money to travel from it. My pnr number is 2243060432. I need an answer.,train delay
I am travelling through train no 12141 pnr 8703086464 uncomfortable seat. Not able to sleep. Complaint to TTE but no use. Pls help,poor service
I am travelling to Pune from Delhi Train no 11078 Jhelum Expres No water in train Toilet plz take a look,hygiene
I am travelling to Pune from Delhi Train no. 11078/Jhelum Expres. No water in train Toilet. plz take a look.,hygiene
I am travelling to TATANAGAR from surat in 12833 my PNR No 8600788397 and birth number is s8 26 27 29 30I need medical treatment for my nine months old baby girlMy Contact no Is 9274329610 and 7359923160,security problem
i am travelling via bkn sc express Vendor selling the meal at 100 instead of 50 and also not providing sweet as per the menu My pnr 2343625620,staff complain
I am travelling with pnr no 6711911374 Train no 15279 poorbiya exp More than an hour past but TTE hasn't visited So I am suffering of seat capturing by fellow passengers ladies I am helpless to do anything kindly help #urgently,staff complain
I am traviling from asansol to chapra my pnr no 6312066055 HA1 20 seat provide but tt gives birth to some one after complain to provide birth in first class jashidh jn midnight next tt came and say to go back your seat what I do,staff complain
I am trying to book tickets after long time My account deactivated Account id 'pshetty920' Sent email to care co in Getting new new ticket ids every time Latest being 8094084 No resolution yet Please reactivate so that I can book tickets,poor service
I am trying to call railway helpline number .One person pick the call after 5 minutes.Instead of helping us that guy disconnect the call.Pathetic  three sister trevelling from giglor to bhubaneswar.two person seat at my seat,poor service
i am vicky chaudhary i travling in train no 12825 from Bokaro steel city to New delhi Seat no S5 41 Date 06 03 2018in this bogi no any mobile charger point is working please solve this problem imeditly,poor service
i am vicky chaudhary i travling in train no 12825 from Bokaro steel city to New delhi Seat no S5 41 Date 06 03 2018in this bogi no any mobile charger point or fan is working please solve this problem imeditly,train delay
I am waiting at Burdwan station for Train no 12987 which is already rescheduled for 7hrs per rescheduled time it should start on 6:00hrs today But not started or any information also available anywhere regarding this train Filling hopeless,train delay
I am waiting at Manmad platform with my dada ji from almost 3 hours. Your train mangala is delayed. Why?? Without any information. Will you pay back my time and money? My dada ji is feeling so much exhausted because of your services.,train delay
I am waiting for Nandan kanan express 12815 at Kanpur central Timing of train is 10:20 am but it is running late and all sites are not giving right info even no help providing by station Authority please help me when it will reach at Kanpur central??,train delay
I AMtravelling in kolkata garibrath 12360 my ticket was waitlisted but after charting my ticket is confirmed and allotted me in defend person coach GD2 in which capacity is only for four personbut in this coach so many people are travelling without authorized tic,hygiene
I AMtravelling in kolkata garibrath 12360 my ticket was waitlisted but after charting my ticket is confirmed and allotted me in defend person coach GD2 in which capacity is only for four personbut in this coach so many people are travelling without authorized tic,hygiene
I AMtravelling in kolkata garibrath 12360 my ticket was waitlisted but after charting my ticket is confirmed and allotted me in defend person coach GD2 in which capacity is only for four personbut in this coach so many people are travelling without authorized tic,hygiene
I aply fr CEN02 2018Ajmer I make payment but error arise I pay again but error arise 1000 are paid to RRB in Bank receipt,appreciation
I ask to rail minister what the safety in tarin from kinner I am travelling in 14208 padmavat express and with reservation ticket in s4 coach with seat no 58 and some kinner come take money from forcely when I say no,security problem
I asked coffee without sugar. So many times. Till not served. Improve the service.,poor service
I avinash Kumar is waiting for train at saharsa for train no 05533 but its time at saharsa is 7pm but after pass 6hrs officers say till they have not received any permission to release trail,staff complain
I bhupesh dayal singh just now travelling with my wife today boarding at Varanasi station in train no 15231 gondia express coach no S 5 having seat no 59 62 My reservation is upto satna station Both are upper birth The roof above seat no 62 is damaged,poor service
I board the train no 16733 S5 at Tirupati we have almost covered half the distance there is no water in the washroom and there was no TT or Station Master to looking into this issue,hygiene
I boarded the train 12838 from cuttack to howrah (pnr-6311432608) the train was late by 2 hours n 25 minutes and due to which I missed 22387 black diamond express from howrah to Dhanbad (pnr-6611916057) in which I had a confirmed CC ticket. Kindly refund the amount.,refund
I boarded train in Dhanbad at 9:51 pm and just got a bottle of water no dinner .The train is approximately 3 hrs late and at lunch time just got khichri dying from hunger.,poor service
I boarded train in Dhanbad at 9:51 pm and just got a bottle of water no dinner The train is approximately 3 hrs late and at lunch time just got khichri dying from hunger Indian Rail today gave me the real state of hunger,train delay
I booked my ticket in train no 01044And from mumbai i booked my another train Now this train is 5 hr 20 min late from source Now what should we do? Pls give me solution My pnr: 8302969780,train delay
I booked my ticket in train no 01044And from mumbai i booked my another train Now this train is 5 hr 20 min late from source Now what should we do? Pls give me solution My pnr: 8302969780,train delay
I booked my ticket in train no 01044And from mumbai i booked my another train Now this train is 5 hr 20 min late from source Now what should we do? Pls give me solution My pnr: 8302969780 I am at ratnagiri station no any enquiry counter is there who gives ans,train delay
I booked my tkt from delhi to jaipur in JP double decker.. But I want to board from Gurgaon station. Is this possible to board from Gurgaon. Or may I go to the start station. Where the train will board.. please help,request new service
I booked tckts for my parents (senior ctz) and ticket was booked in two different coach and upper seats. PNR - 22 4353 0885,request new service
i booked ticket for 3 passengers via paytm and receiving this sms But the pnr says ticket confirmed Train number 12084,poor service
I booked Ticket for train No 06580 hoping I would reach morning and then i can go to office but my train is running 3hrs delay Pathetic rail services Instead of Fare increase run train in proper timings,train delay
I booked ticket from Rajkot to Mumbai through  . Amount debited from bank account but haven't received ticket raised an support ticket ( #8125421) through mail on 17th February still awaiting for refund. This is repeating on every 2nd transaction,refund
I booked Ticket on IRCTC Rail Connect Money deducted but Showed Payment failed Why this happened and how to recover money? I paid via credit card,poor service
I booked train no 29020 from nzm to kota but it dont shows any status my pnr no is 2724344002,poor service
